wav_file,song,onsets,offsets
br66br05_250717_074928.2710.cbin,iiiibbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeeeehbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbb,7997.527822 8148.735213 8282.153499 8408.900871 8564.75 8610.875 8664.0625 8717.78125 8769.0625 8826.59375 8877.53125 8930.15625 8985.03125 9042.78125 9101.75 9159.875 9222.0 9284.25 9345.9375 9408.6875 9470.46875 9529.15625 9585.6875 9643.125 9701.125 9758.9375 9816.6875 9875.84375 9932.90625 10001.5 10067.3125 10127.46875 10188.84375 10248.78125 10312.1875 10370.3125 10431.8125 10493.1875 10666.84375 10708.5 10752.4375 10794.25 10839.15625 10883.75 11121.71875 11169.53125 11223.9375 11277.5625 11326.15625 11379.46875 11431.625 11483.59375 11536.75 11589.9375 11643.78125 11699.34375 11754.96875 11814.96875 11877.96875 11941.84375 12006.03125 12069.5 12127.46875 12185.34375 12243.46875 12302.25 12360.96875 12419.75 12479.21875 12549.4375 12616.5625 12680.1875 12743.28125 12805.46875 12868.90625 12933.34375 13113.71875 13155.09375 13201.5 13243.71875 13286.6875 13333.15625 13386.09375,8044.224222 8188.760699 8326.626261 8468.939099 8574.15625 8624.0625 8681.71875 8735.03125 8787.59375 8839.28125 8896.5625 8953.84375 9014.40625 9075.34375 9134.875 9197.96875 9262.5625 9321.75 9386.9375 9446.65625 9509.34375 9564.78125 9622.84375 9681.1875 9739.8125 9797.21875 9859.1875 9918.03125 9991.0 10060.5 10119.90625 10181.59375 10242.0 10303.40625 10361.5625 10423.1875 10483.1875 10541.78125 10699.5 10732.1875 10782.3125 10831.71875 10875.0 10921.125 11133.65625 11193.15625 11248.75 11300.875 11351.875 11405.4375 11456.1875 11509.375 11562.21875 11615.0625 11669.40625 11724.9375 11780.78125 11847.40625 11911.84375 11976.1875 12044.59375 12103.28125 12165.0625 12223.84375 12281.1875 12340.09375 12400.25 12460.53125 12538.3125 12610.40625 12673.40625 12736.46875 12797.78125 12860.96875 12924.5625 12985.1875 13147.53125 13183.0625 13232.625 13277.6875 13323.71875 13371.4375 13404.6875
br66br05_250717_074955.2714.cbin,iiiibbbbbbbbbbbbbbbbbbbbbeeeeeeeeehbbbbbbiiibbbbbbbbbbbbbbbbbbbbeeeeeeeeehbbbbibbbbbbbbbbbbbbbbbbbbbbbeeeeeeehbbbbbiiibbbbbhfffffffhgmhbbbbbiibbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiibbbbbbbbbbbbbbbbbbbbb,4254.164951 4395.625 4523.0625 4665.9375 4906.5625 4958.78125 5012.96875 5064.71875 5115.0 5167.875 5220.25 5275.15625 5332.125 5391.15625 5453.15625 5514.875 5576.5 5637.6875 5697.53125 5755.25 5811.5 5868.53125 5925.25 5982.34375 6038.84375 6098.5 6168.632853 6236.540133 6296.363213 6352.952613 6419.243053 6480.682973 6540.506052 6608.413332 6773.331012 6816.985692 6857.406692 6902.678212 6944.716052 6988.370731 7036.875931 7268.9375 7445.09375 7598.65625 7822.59375 7870.875 7920.1875 7969.78125 8020.78125 8073.34375 8125.65625 8180.96875 8238.375 8295.03125 8356.1875 8419.6875 8482.25 8543.3125 8601.8125 8659.65625 8717.21875 8774.9375 8833.375 8893.375 8950.375 9024.101634 9090.392074 9151.831994 9208.421393 9276.328673 9336.151753 9402.442193 9457.414753 9627.3123 9711.387979 9759.893179 9805.164699 9847.202539 10001.84375 10171.5625 10213.8125 10278.898818 10340.338738 10387.8125 10443.625 10498.90625 10555.09375 10609.875 10668.3125 10728.4375 10790.96875 10859.344377 10919.167457 10983.841056 11048.514656 11108.21875 11168.25 11226.53125 11284.4375 11343.40625 11402.46875 11461.25 11521.28125 11599.857095 11666.147535 11726.099962 11784.306202 11852.213482 11913.653401 12070.486881 12120.608921 12156.179401 12201.450921 12248.339281 12298.461321 12518.90625 12663.09375 12817.875 12958.563229 13006.541743 13053.03125 13104.53125 13156.75 13216.09375 13278.71875 13351.024158 13418.931438 13482.0625 13557.21875 13630.40625 13704.0625 13866.925464 13907.346464 13955.851664 14093.283064 14138.554583 14180.592423 14221.013423 14264.668103 14309.939623 14390.781623 14457.34375 14597.737142 14645.71875 14690.75 14740.78125 14791.375 14843.75 14898.46875 14955.375 15016.4375 15080.21875 15144.0625 15207.125 15271.125 15332.65625 15390.9375 15448.40625 15506.59375 15565.125 15623.125 15682.375 15741.03125 15813.600819 15879.891259 15941.331179 16002.771099 16064.211019 16125.780286 16190.453886 16339.203165 16411.960965 16452.381965 16497.653485 16544.541845 16586.579685 16773.5 16930.625 17080.78125 17221.997803 17270.5 17320.78125 17376.71875 17426.96875 17482.09375 17537.03125 17593.53125 17657.30477 17716.70674 17777.625 17842.375 17907.03125 17971.1875 18034.125 18097.90625 18163.0625 18234.268988 18294.092068 18368.466708 18441.224508,4289.735431 4448.96875 4580.875 4716.78125 4928.59375 4981.625 5034.40625 5088.71875 5142.125 5200.75 5253.1875 5311.875 5375.28125 5436.40625 5497.78125 5560.6875 5620.59375 5681.03125 5743.0625 5799.34375 5852.0 5912.6875 5969.875 6027.3125 6088.375 6157.53125 6228.455933 6283.428493 6343.251573 6401.457813 6467.748253 6529.188173 6589.011252 6631.049092 6799.200452 6831.537252 6876.808772 6922.080292 6968.968651 7019.090691 7051.427491 7369.15625 7495.125 7650.9375 7855.21875 7910.28125 7959.0 8012.03125 8061.375 8108.875 8163.125 8217.53125 8279.84375 8340.375 8401.40625 8463.625 8524.15625 8588.3125 8647.125 8699.6875 8761.375 8821.03125 8883.625 8943.375 9012.65625 9067.756314 9135.663594 9193.869833 9260.160273 9321.600193 9384.656953 9439.629513 9504.303113 9658.03226 9734.023739 9779.295259 9832.650979 9873.071979 10052.59375 10197.4375 10254.34375 10311.235618 10361.357658 10424.53125 10481.28125 10535.21875 10595.1875 10656.3125 10719.03125 10777.8125 10838.28125 10893.298017 10945.036897 11006.476816 11074.384096 11151.25 11210.8125 11270.1875 11328.21875 11387.40625 11447.125 11507.90625 11587.28125 11648.362295 11709.802215 11777.838842 11840.895602 11892.634482 11955.691241 12104.440521 12133.543641 12188.516201 12228.937201 12274.208721 12313.012881 12567.71875 12724.1875 12879.71875 12968.844339 13020.24989 13080.6875 13142.4375 13191.5 13270.6875 13338.90625 13393.061998 13460.969278 13546.40625 13617.15625 13691.28125 13767.5625 13891.178064 13939.683264 13984.954784 14114.301983 14151.489303 14201.611343 14242.032343 14293.771223 14337.425903 14419.884743 14508.90625 14610.671862 14667.21875 14725.3125 14777.4375 14827.53125 14877.6875 14936.65625 14996.21875 15064.5625 15124.3125 15186.375 15252.1875 15317.59375 15377.65625 15435.6875 15494.875 15550.125 15611.0 15668.90625 15731.9375 15804.09375 15862.106019 15928.396459 15983.369019 16054.509979 16103.015179 16174.285486 16226.024366 16392.558885 16429.746205 16468.550365 16515.438725 16563.943925 16607.598605 16826.4375 16991.15625 17143.09375 17243.016723 17294.09375 17356.40625 17408.625 17462.46875 17520.15625 17579.1875 17635.375 17685.863409 17752.119453 17826.53125 17891.15625 17954.5625 18020.96875 18081.75 18145.625 18211.59375 18274.689988 18342.597268 18416.971908 18481.645508
br66br05_250717_075022.2715.cbin,iiiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiibbbbbhffffffhgmhbbbbbbibbbbbbbbbbbbbbbbbbbbbeeeeeeee,5432.40625 5550.09375 5674.28125 5803.75 5931.71875 6062.28125 6204.28125 6356.84375 6402.875 6453.5 6505.96875 6558.78125 6612.53125 6662.21875 6713.34375 6765.34375 6819.125 6872.21875 6924.71875 6975.09375 7027.09375 7080.03125 7130.1875 7187.375 7249.625 7311.15625 7372.09375 7431.03125 7487.21875 7544.625 7602.4375 7658.5625 7716.5 7774.53125 7834.9375 7900.8125 7964.8125 8025.5625 8087.125 8147.0625 8208.21875 8267.46875 8431.40625 8472.84375 8517.21875 8560.71875 8602.09375 8649.28125 8839.0625 8982.53125 9130.25 9267.53125 9313.875 9360.28125 9420.46875 9472.9375 9520.75 9582.375 9650.875 9719.09375 9788.28125 9859.0 9931.09375 10093.5625 10133.350769 10178.444323 10315.96875 10357.75 10400.0625 10445.53125 10486.65625 10532.15625 10584.34375 10735.0 10857.0 10904.71875 10948.0625 10997.96875 11050.71875 11103.0625 11157.75 11216.96875 11279.125 11342.0 11404.3125 11467.1875 11525.1875 11583.0 11640.65625 11697.75 11755.0 11811.96875 11870.0625 11926.3125 11983.625 12045.78125 12109.8125 12174.5625 12237.65625 12300.3125 12362.25 12423.21875 12484.53125,5474.9375 5596.84375 5723.9375 5854.59375 5984.03125 6111.6875 6252.0625 6364.21875 6413.40625 6468.09375 6519.6875 6570.96875 6625.5625 6677.34375 6732.90625 6785.96875 6840.875 6897.5625 6950.03125 7000.09375 7055.25 7106.59375 7161.1875 7227.15625 7288.75 7350.34375 7411.09375 7468.0 7523.9375 7581.46875 7638.46875 7696.65625 7753.53125 7812.5625 7876.03125 7951.4375 8015.46875 8074.15625 8137.34375 8196.84375 8258.875 8313.625 8462.625 8495.09375 8546.3125 8589.4375 8634.40625 8676.15625 8876.53125 9031.21875 9179.3125 9276.3125 9325.0625 9382.375 9437.96875 9488.09375 9560.3125 9630.84375 9699.90625 9770.28125 9840.4375 9910.25 9987.03125 10127.9375 10172.224523 10220.427978 10345.125 10377.46875 10428.34375 10474.5625 10517.46875 10566.96875 10610.15625 10775.8125 10865.8125 10915.0 10974.625 11023.6875 11073.1875 11125.53125 11182.71875 11247.96875 11308.4375 11376.03125 11441.34375 11498.125 11557.46875 11615.53125 11674.3125 11730.46875 11788.3125 11848.09375 11906.5 11963.6875 12023.21875 12089.6875 12158.40625 12222.9375 12288.125 12349.71875 12418.0625 12474.59375 12527.65625
br66br05_250717_075038.2717.cbin,iiiiiibbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeeeehbbbbbb,2425.563408 2554.581665 2668.794548 2813.78125 2947.28125 3077.625 3241.672173 3293.96875 3337.78125 3396.5 3447.9375 3499.75 3549.34375 3602.71875 3657.53125 3713.53125 3773.71875 3835.125 3896.53125 3958.65625 4019.84375 4080.59375 4140.59375 4196.375 4252.375 4309.78125 4366.3125 4423.125 4480.78125 4538.5625 4596.25 4664.21875 4728.125 4787.65625 4848.96875 4913.09375 4974.09375 5036.375 5097.9375 5158.8125 5315.973934 5367.09375 5410.46875 5449.6875 5492.71875 5538.3125 5588.625,2463.634369 2592.652626 2711.095616 2832.90625 2966.0625 3097.40625 3255.049805 3306.21875 3358.71875 3409.5 3461.84375 3513.40625 3566.40625 3627.5 3683.15625 3746.21875 3806.78125 3864.71875 3931.0625 3992.25 4053.21875 4111.84375 4172.8125 4228.53125 4286.3125 4343.1875 4399.0625 4456.65625 4513.75 4573.625 4636.0625 4712.71875 4775.96875 4835.15625 4897.03125 4959.15625 5022.8125 5085.34375 5141.96875 5197.65625 5348.806352 5377.15625 5425.8125 5474.59375 5517.65625 5561.8125 5598.15625
br66br05_250717_075055.2721.cbin,iiiibbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiibbbbhfffffhgmhbbbbbhbbbbbbbbbbbbbbbbbbbbbbeeeeeee,2301.309049 2437.329779 2564.849214 2728.499155 2854.310727 2903.9375 2952.6875 3004.71875 3059.3125 3110.34375 3158.375 3210.65625 3263.15625 3314.612606 3373.59375 3434.71875 3495.3125 3556.65625 3614.96875 3673.5625 3729.09375 3784.5625 3841.375 3897.90625 3954.09375 4010.71875 4067.8125 4125.34375 4191.46875 4253.9375 4310.724266 4377.231603 4434.71875 4493.40625 4552.40625 4730.5 4768.40625 4812.25 4851.697745 4895.65625 4939.34375 5122.319111 5275.9375 5444.53125 5614.824452 5664.96875 5712.90625 5760.0625 5822.15625 5876.25 5942.875 6011.3125 6080.15625 6159.46875 6266.65625 6303.40625 6344.90625 6487.0 6527.5625 6566.1875 6609.34375 6652.21875 6698.6875 6877.46875 6971.112554 7021.59375 7064.1875 7111.28125 7162.28125 7214.84375 7265.28125 7321.625 7376.03125 7435.5625 7495.90625 7558.125 7620.28125 7681.0 7740.4375 7798.84375 7856.75 7914.0 7971.8125 8029.96875 8087.59375 8146.40625 8202.96875 8270.34375 8333.71875 8393.59375 8452.90625 8513.3125 8575.3125,2333.188907 2473.460286 2620.107636 2766.754986 2868.70132 2912.34375 2965.1875 3017.125 3068.625 3120.8125 3174.0 3229.875 3284.40625 3342.222252 3397.03125 3461.375 3514.125 3579.65625 3641.78125 3704.875 3761.96875 3818.84375 3874.90625 3931.75 3987.59375 4044.03125 4103.71875 4166.09375 4239.1875 4297.375 4358.373731 4422.867709 4483.21875 4541.125 4595.84375 4749.25 4779.21875 4828.21875 4875.076308 4919.59375 4956.78125 5151.290632 5303.84375 5476.34375 5624.719288 5671.15625 5727.59375 5781.5625 5853.71875 5926.46875 5989.71875 6059.59375 6135.3125 6181.03125 6289.9375 6337.40625 6381.6875 6509.53125 6537.25 6592.09375 6634.0 6678.6875 6727.21875 6893.65625 6983.481098 7029.375 7083.53125 7131.25 7182.125 7235.625 7291.84375 7342.84375 7399.15625 7458.125 7517.71875 7582.71875 7644.09375 7715.4375 7774.03125 7831.3125 7888.53125 7948.21875 8006.5625 8063.5 8123.8125 8177.15625 8247.4375 8318.46875 8381.84375 8444.0 8502.40625 8563.0 8621.21875
br66br05_250717_075105.2722.cbin,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeeiiiiiiibbbbbbbbbbbbbbbbbbbbbbbbbeeeeeee,7406.916084 7443.380791 7506.71875 7554.28125 7607.3125 7659.875 7710.9375 7766.21875 7808.78125 7860.25 7914.9375 7963.875 8013.625 8068.78125 8122.25 8178.40625 8238.0 8299.28125 8360.5625 8422.09375 8482.0625 8542.0 8600.125 8656.1875 8712.21875 8769.125 8825.875 8881.75 8939.34375 8998.09375 9056.21875 9120.71875 9184.15625 9244.90625 9305.6875 9368.34375 9430.28125 9493.1875 11460.625 11596.5625 11756.40625 11892.71875 12033.1875 12173.90625 12333.5 12546.03125 12597.59375 12649.1875 12702.96875 12757.46875 12812.65625 12868.625 12918.0 12974.625 13034.375 13095.71875 13157.78125 13220.375 13282.75 13344.34375 13403.96875 13460.21875 13514.28125 13570.75 13629.125 13685.90625 13742.3125 13800.125 13858.1875 13916.40625 13971.59375 14037.71875 14101.375 14162.15625 14222.03125 14280.8125 14342.78125,7417.173725 7470.374584 7515.0625 7564.875 7619.5625 7672.21875 7725.375 7777.15625 7829.0 7879.78125 7932.4375 7984.3125 8037.375 8089.71875 8145.8125 8204.34375 8266.53125 8332.65625 8388.0 8455.53125 8516.5625 8576.5625 8633.15625 8689.46875 8745.25 8802.71875 8858.4375 8915.8125 8975.5625 9033.34375 9096.65625 9163.4375 9231.1875 9293.84375 9353.625 9415.59375 9476.125 9527.84375 11468.40625 11634.6875 11792.9375 11933.21875 12079.15625 12212.40625 12366.8125 12553.5625 12606.40625 12658.59375 12714.0 12768.0625 12823.5 12876.96875 12940.21875 13000.84375 13061.09375 13126.71875 13182.96875 13248.375 13308.375 13380.03125 13435.1875 13492.0625 13549.5 13604.6875 13660.125 13718.90625 13775.96875 13833.5 13894.8125 13949.34375 14016.28125 14088.71875 14151.0625 14210.40625 14273.28125 14328.375 14380.84375
br66br05_250717_075122.2724.cbin,bbbbbbbbbbbbbbbbbbbbbbbbeeeeeeehbbbbbiibbbhfffffhgmhbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeee,2907.980354 2958.894232 3013.0 3064.21875 3116.34375 3168.78125 3221.125 3268.6875 3319.3125 3370.1875 3425.25 3481.78125 3540.9375 3604.1875 3664.625 3727.5625 3788.34375 3845.53125 3905.09375 3960.5625 4018.6875 4072.90625 4128.09375 4185.5 4244.6875 4310.125 4374.1875 4434.40625 4493.25 4554.1875 4612.625 4801.6875 4837.4375 4877.96875 4920.1875 4962.21875 5003.9375 5192.625 5333.96875 5458.323295 5507.028421 5559.59375 5612.71875 5667.65625 5734.90625 5800.28125 5868.21875 5936.59375 6100.6875 6139.75 6183.5625 6326.8125 6410.125 6451.4375 6493.4375 6538.53125 6738.96875 6843.996504 6891.1875 6938.84375 6986.46875 7033.21875 7085.34375 7138.375 7193.0 7249.28125 7302.625 7362.1875 7424.5 7486.21875 7546.34375 7603.5625 7660.40625 7717.9375 7774.8125 7833.34375 7891.90625 7950.59375 8012.15625 8071.625 8128.875 8191.4375 8255.46875 8318.375 8378.59375 8436.6875 8499.875 8558.78125 8623.65625 8684.6875,2919.416169 2971.899669 3021.9375 3075.65625 3126.65625 3178.84375 3230.65625 3285.40625 3336.6875 3388.90625 3442.28125 3498.90625 3564.15625 3632.375 3690.8125 3753.5625 3818.96875 3876.15625 3934.8125 3990.1875 4046.125 4106.5 4161.59375 4222.8125 4281.375 4358.46875 4423.4375 4482.96875 4543.59375 4599.4375 4654.84375 4817.34375 4843.9375 4897.90625 4940.3125 4982.84375 5027.75 5209.9375 5362.25 5474.227009 5517.962225 5567.875 5644.34375 5710.90625 5775.8125 5844.15625 5911.59375 5982.5 6119.59375 6167.71875 6215.34375 6350.375 6426.6875 6471.25 6515.5625 6561.46875 6749.59375 6851.948362 6899.0625 6952.28125 7006.0 7056.65625 7108.34375 7157.96875 7216.5 7271.90625 7329.3125 7394.625 7455.40625 7520.84375 7577.4375 7633.4375 7692.25 7750.90625 7808.78125 7866.09375 7923.1875 7985.875 8043.21875 8102.40625 8159.53125 8229.875 8303.46875 8366.03125 8426.59375 8481.03125 8547.71875 8610.9375 8671.40625 8729.625
br66br05_250717_075131.2725.cbin,iiiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiiiibbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeee,5578.673106 5703.423709 5830.80064 5955.551243 6082.928174 6211.61827 6357.379501 6476.841059 6524.28125 6576.0 6627.87394 6678.40625 6730.75 6783.553985 6830.84375 6885.03125 6935.75 6987.3125 7041.09375 7094.9375 7147.5625 7203.03125 7266.40625 7323.8125 7384.0625 7444.4375 7505.125 7561.25 7616.375 7672.3125 7729.90625 7786.875 7843.90625 7900.1875 7957.84375 8019.375 8085.21875 8147.90625 8208.125 8268.1875 8327.9375 8387.9375 8449.6875 8628.5625 8705.53125 8747.5625 8789.96875 8835.46875 8882.71875 9062.6875 9193.65625 9347.53125 9505.0625 9653.96875 9773.094443 9820.46875 9871.28125 9922.53125 9975.40625 10028.84375 10082.6875 10135.46875 10186.34375 10244.5 10307.59375 10367.65625 10430.25 10494.875 10554.625 10614.375 10674.0625 10719.25 10788.3125 10845.8125 10902.9375 10961.5 11021.0 11078.6875 11138.28125 11196.59375 11257.0 11322.65625 11388.03125 11449.8125 11512.5625 11574.28125 11633.96875,5616.754869 5741.505472 5863.629746 5991.006678 6121.009937 6249.700033 6390.208607 6485.360863 6532.96875 6586.6875 6637.555534 6687.28125 6740.8125 6791.686525 6847.46875 6902.65625 6954.15625 7006.40625 7059.59375 7117.4375 7167.09375 7223.625 7285.78125 7351.78125 7413.03125 7468.78125 7536.59375 7592.46875 7650.46875 7706.71875 7763.8125 7821.5625 7876.5625 7934.46875 7983.65625 8047.25 8122.75 8193.1875 8253.9375 8311.8125 8373.65625 8429.6875 8483.125 8648.8125 8727.09375 8770.53125 8813.84375 8856.6875 8900.125 9095.4375 9231.125 9385.9375 9539.0 9677.8125 9782.001193 9827.46875 9883.46875 9935.4375 9988.875 10041.96875 10097.46875 10151.75 10214.5 10275.53125 10332.75 10391.625 10450.65625 10512.0625 10575.59375 10635.96875 10701.46875 10766.0625 10821.75 10879.59375 10938.28125 10996.1875 11055.0625 11113.34375 11172.90625 11230.96875 11299.125 11370.875 11436.84375 11499.84375 11562.75 11620.3125 11681.28125
br66br05_250717_075146.2727.cbin,iiiiiiibbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiiibbbbbbbbbbbbbbbbbbbbbbbeeeeeeeeee,2321.96875 2444.09375 2563.9375 2687.15625 2809.625 2954.9375 3081.3125 3205.439247 3251.58696 3300.9375 3350.84375 3401.84375 3453.625 3498.75 3553.4375 3606.90625 3663.84375 3724.375 3783.3125 3845.625 3905.34375 3965.78125 4025.5625 4082.625 4138.6875 4195.09375 4252.09375 4310.78125 4367.90625 4425.625 4483.46875 4540.53125 4596.375 4662.21875 4726.28125 4787.65625 4849.375 4908.21875 4968.75 5033.9375 5209.0625 5248.15625 5291.75 5328.53125 5369.90625 5414.15625 5676.46875 5824.53125 5964.53125 6126.40625 6349.75 6403.21875 6456.5625 6509.71875 6558.0625 6608.25 6656.53125 6708.3125 6760.375 6810.8125 6864.15625 6916.875 6973.96875 7034.03125 7095.21875 7156.0625 7217.84375 7273.84375 7331.125 7390.34375 7445.09375 7560.59375 7618.5625 7675.71875 7742.5625 7806.53125 7870.53125 7928.1875 7989.21875 8051.71875 8114.09375 8175.9375 8244.875,2332.15625 2468.3125 2601.40625 2717.625 2839.59375 2972.375 3093.46875 3213.638516 3261.836047 3313.875 3363.3125 3412.65625 3488.4375 3519.9375 3574.3125 3634.34375 3692.46875 3752.25 3816.09375 3877.78125 3939.625 4001.125 4058.375 4114.09375 4171.71875 4227.84375 4287.3125 4344.1875 4401.03125 4459.71875 4516.84375 4574.875 4644.53125 4710.8125 4773.59375 4832.5 4897.6875 4957.375 5017.34375 5071.4375 5227.3125 5261.0625 5305.15625 5349.625 5394.65625 5437.59375 5699.875 5855.71875 6001.0 6151.53125 6357.71875 6413.71875 6464.4375 6517.03125 6573.4375 6621.625 6672.09375 6726.28125 6776.625 6828.71875 6882.65625 6936.6875 6993.53125 7056.6875 7119.5 7190.15625 7247.71875 7304.625 7362.40625 7419.3125 7535.21875 7596.46875 7653.6875 7720.90625 7791.125 7854.65625 7916.71875 7974.46875 8035.0625 8097.875 8160.6875 8219.5 8271.25
br66br05_250717_075213.2732.cbin,iiiiibbbbbbbbbbbbbbbbbbbbbbbbbbbbbbeeeeeeeehbbbbbiiiiibbbbbbbbbbbbbbbbbbbbbbbbbeeeeeee,1255.116134 1394.178293 1531.523634 1656.851258 1785.612516 1945.276476 1993.347345 2043.135032 2092.922718 2146.290842 2196.8125 2244.302392 2297.53125 2349.15625 2401.9375 2455.625 2504.28125 2554.96875 2605.28125 2661.375 2716.65625 2776.25 2838.59375 2898.78125 2959.25 3017.5625 3073.65625 3128.5625 3185.84375 3241.84375 3298.875 3355.90625 3411.96875 3467.15625 3524.15625 3585.53125 3652.09375 3714.5 3774.03125 3836.75 3897.46875 3960.15625 4019.875 4184.75 4220.4375 4261.9375 4305.5625 4343.6875 4390.21875 4598.21967 4741.829975 4888.942971 5022.045205 5189.09375 5338.03125 5386.65625 5437.34375 5489.75 5543.1875 5596.5 5641.90625 5692.03125 5743.75 5797.65625 5848.96875 5906.625 5968.5625 6029.5 6089.5 6150.53125 6209.90625 6265.875 6323.40625 6382.40625 6439.78125 6494.65625 6553.5 6611.5625 6669.46875 6727.03125 6793.53125 6854.71875 6915.3125 6976.875 7035.0625 7104.75,1282.585202 1425.080994 1552.125435 1696.338044 1825.099302 1950.426926 2007.081879 2056.869566 2110.090886 2157.276052 2202.5 2256.561809 2307.53125 2354.625 2408.53125 2463.71875 2518.78125 2571.125 2622.65625 2679.09375 2738.9375 2804.9375 2858.84375 2923.40625 2981.9375 3050.28125 3102.75 3157.875 3213.125 3269.8125 3326.71875 3383.125 3440.09375 3497.25 3556.8125 3628.9375 3697.875 3760.625 3820.21875 3880.90625 3941.40625 4000.71875 4055.34375 4201.0625 4230.09375 4281.25 4325.5 4369.3125 4414.46875 4624.489848 4769.851498 4923.969875 5062.326144 5196.4375 5341.40625 5399.0 5451.65625 5504.21875 5555.09375 5605.4375 5659.28125 5711.1875 5764.28125 5815.65625 5871.09375 5930.53125 5986.71875 6048.71875 6111.03125 6183.53125 6242.21875 6298.90625 6353.71875 6406.90625 6470.625 6524.0 6582.9375 6638.96875 6700.9375 6773.25 6837.3125 6898.6875 6965.8125 7021.21875 7076.03125 7107.96875
