syl1,syl2,rho,p_value,sample_size,status
b,c,0.008763841367493648,0.9795977698969158,11,insufficient_data
b,d,0.0252668171783271,0.7443616462475928,169,nonsignificant
b,e,-0.8660254037844387,0.3333333333333332,3,insufficient_data
c,b,,,1,insufficient_data
c,d,,,8,insufficient_data
c,e,0.030915850461850847,0.2878167629048547,1184,nonsignificant
d,b,-0.09772961616990447,2.726989827890055e-09,3688,significant
d,c,,,1,insufficient_data
d,e,,,10,insufficient_data
e,b,0.45759246381923996,0.08632913715023546,15,insufficient_data
e,c,,,0,insufficient_data
e,d,-0.06948347632738466,0.07445040597474828,660,nonsignificant
